Airport,Company.Name,Purpose,TEL,Remarks
RJTT,日本空港テクノ,ハンドリング関する問い合わせ,070-2498-0896,携帯No.5
RJTT,三愛石油,給油,03-5757-9039,
RJTT,三愛石油,給油,03-5757-9040,
RJTT,JSS,ターミナルセキュリティー（金探）,03-5757-7818,
RJTT,JSS,ターミナルセキュリティー（金探）,090-4383-7480,
RJTT,TIAT,ケータリング,03-6428-5951,N930HB専用
RJTT,PJ,ケータリング,045-662-1181,事務所までデリバリー
RJTT,PJ,ケータリング,080-5536-3388,事務所までデリバリー
RJTT,NOBU TOKYO,ケータリング,03-5733-7061,車手配要
RJTT,IMAHAN BENTO,ケータリング,03-3641-0352,事務所までデリバリー
RJTT,小田川冰室,DRY ICE,03-4741-0601,
RJTT,防災センター,サービスヤード立入時の車番登録先,03-6428-0111,
RJTT,NTアクアツインズ,リネン依頼先,03-3747-1321,K1ビル内に事務所有り
RJTT,保安防災,緊急PASS申請,03-5757-3003,CAB庁舎
RJTT,TIAT,SKY LOUNGE ANNEX,03-6428-0680,
RJTT,TIAT,有料待合室,03-6428-0677,
RJAA,CAB,SLOT調整、PLN確認,0476-32-6410,緊急連絡先：0476-32-1095
RJAA,CAB,SLOT調整、PLN確認,0476-32-6411,緊急連絡先：0476-32-1095
RJAA,NAA,SPOT調整、確認、FOLLOW ME CAR,0476-32-2455,
RJAA,NAA,ID発行センター,0476-34-5888,
RJAA,NAA,ID発行センター,0476-34-5889,
RJAA,NAA,BJ利用ー受付,0476-34-5531,
RJAA,NAA,BJ利用ー受付,080-8014-1249,
RJAA,NAA,保安警備部,0476-34-5588,
RJAA,NAA,警備消防センター,0476-34-5498,
RJAA,NAA,NAA運用管理部,0476-34-5656,
RJAA,NAA,サービスセンター（T1）,0476-32-2291,
RJAA,NAA,サービスセンター（T2）,0476-34-6655,60番到着ゲート
RJAA,NAA,ご案内センター,0476-34-6260,
RJAA,NAA,2F総合案内所,0476-34-8000,
RJAA,JSS,長大流し場（T2）,0476-34-6383,
RJAA,税関,NACCS（取締本部）（T1）,0476-32-6072,
RJAA,税関,船陸申請（総括部門）（T1）,0476-32-6081,
RJAA,税関,パーサー（T1）,0476-32-6236,
RJAA,税関,パーサー（T2）,0476-34-2170,
RJAA,税関,旅具統括（T1）,0476-32-6061,
RJAA,税関,旅具統括（T2）,0476-34-2165,
RJAA,税関,土日祝船陸、仮陸申請（第四監所）（T2）,0476-34-2185,
RJAA,税関,船陸申請、税関カード（総括部門）（T2）,0476-34-2157,
RJAA,入管,北上陸（T1）,0476-32-6848,
RJAA,入管,北出国（T1）,0476-32-6841,
RJAA,入管,上陸A（T2）,0476-34-2215,
RJAA,入管,上陸B（T2）,0476-34-2205,
RJAA,入管,出国A（T2）,0476-34-9563,
RJAA,入管,出国B（T2）,0476-34-2228,
RJAA,入管,入管審査全般、EDカード受取,0476-34-2211,
RJAA,検疫（人間）,仮検疫済証、入国関しての問い合わせ（T1）,0476-32-6716,T1検疫前通報FAX
RJAA,検疫（人間）,検疫事務所（T2）,0476-34-2315,
RJAA,検疫（人間）,BJ利用ー検疫対応（T2）,0476-34-2316,
RJAA,検疫（人間）,検疫A（T2）,0476-34-2317,T2検疫前通報FAX
RJAA,検疫（人間）,検疫B（T2）,0476-34-2315,
RJAA,検疫（動物）,動物出入国関しての問い合わせ（T1）,0476-34-2342,
RJAA,検疫（動物）,動物検疫A（T2）,0476-34-2343,
RJAA,検疫（動物）,動物検疫B（T2）,0476-34-2342,動物検疫（T1）と同じ
RJAA,検疫（植物）,植物輸出入関しての問い合わせ（T1）,0476-32-6741,
RJAA,検疫（植物）,植物輸出入関しての問い合わせ（T2）,0476-34-2352,
RJAA,JAL,ハンドリング関する問い合わせ,0476-34-3434,運航前日までの調整、ETA連絡窓口
RJAA,JAL,整備、清掃やIRRG相談,070-4825-4489,業務（やすぎMR）
RJAA,JGS,現場搭載,0476-34-8732,STEP手配、STBY時間調整窓口
RJAA,JGS,現場搭載,0476-34-8757,運航当日の調整窓口
RJAA,JGS,現場搭載,090-1454-5457,携帯（青）
RJAA,JGS,現場搭載,090-1555-2669,携帯（銀）
RJAA,JGS,LAV/WATER/TRASH,0476-34-8703,JGS客室
RJAA,JGS,TOWING、PUSHBACK,0476-34-8721,JGS誘導
RJAA,JAL EC,INTERPHONE、MNT関連,0476-34-4013,JALEC整備
RJAA,JAL EC,DEICE CONTRL関連,0476-32-4138,JALEC整備
RJAA,JAL ABC,BAG HANDLING (T1),0476-32-8116,
RJAA,JAL ABC,BAG HANDLING (T1),080-6680-8918,
RJAA,JAL ABC,BAG HANDLING (T2、BJ利用),0476-34-3259,
RJAA,JAL ABC,BAG HANDLING (T2、BJ利用),080-1128-5109,
RJAA,JAL BHS,預かり荷物検査,0476-34-6935,0730LT前にBHS使用時手配用 / 緊急連絡先：0476-32-5326
RJAA,JAL AIRTEC,"窒素、酸素手配（N2, O2）",0476-32-5415,
RJAA,リムジンバス,ランプバス,0476-34-6309,
RJAA,GGJ,ケータリング,0476-32-1796,SHIP SIDEに来れる
RJAA,GGJ,ケータリング,080-1003-5081,仁田脇MR
RJAA,GGJ,ケータリング,090-7731-4890,多崎MR
RJAA,GGJ,ケータリング,080-9501-9188,中川MR
RJAA,COSMO,ケータリング,0476-32-8634,SPOT/ETA/DLY TIME連絡窓口
RJAA,COSMO,ケータリング,0476-32-8603,オーダー/SKD変更連絡窓口
RJAA,COSMO,ケータリング,0476-32-7272,夜間連絡先
RJAA,寿司京辰,ケータリング,0476-32-1777,お寿司、刺身
RJAA,寿司岩,ケータリング,0476-32-5797,お寿司、刺身
RJAA,JAFS,給油,0476-34-8885,
RJAA,マイナミ,給油,0476-32-6901,
RJAA,PWC,AGPハンガー関する問い合わせ,03-6701-5581,下岡MR
RJAA,AGP,AGPハンガー立入連絡（統合監視室）,0476-32-3627,
RJAA,AGP,GPU手配,0476-32-8771,
RJAA,AGP,GPU手配,0476-32-8772,
RJAA,IACT,B737 AGP HGR TOWING,0476-34-6693,
RJAA,千葉交通タクシー,配車（一般タクシー）,0476-22-1331,
RJAA,日の丸リムジン,配車（一般タクシー）,03-3215-0818,
RJAA,将永交通,配車（一般タクシー）,0479-78-1230,
RJAA,マースエクスプレス,ブロッカー、通関,0476-35-3952,
RJAA,ダスキン,ダスキン交換,0476-22-5173,
RJAA,ASBC,出国前金探,0476-32-8725,
RJAA,DL SKY CLUB LOUNGE,ラウンジ,0476-32-7491,0800LT～
RJAA,加藤商店,産業廃棄物処理(漏れ油),0479-86-2068,
RJBB,CAB,SLOT 日次調整,072-455-1330,
RJBB,CAB,SLOT 月次調整,072-455-1334,
RJBB,関西エアポート,SPOT 日次調整,072-455-2215,
RJBB,関西エアポート,SPOT 月次調整,072-455-2221,
RJBB,税関,取締本部,072-455-1602,
RJBB,税関,取締本部,072-455-1603,
RJBB,税関,旅具受付カウンター（CIQパス貸出）,072-455-1620,
RJBB,税関,旅具パーサー（CIQ構内）,072-455-1629,
RJBB,税関,BJ利用ー税関対応（T2）,072-455-1643,
RJBB,入管,南入国,072-455-1459,
RJBB,入管,南出国,072-455-1463,
RJBB,入管,北入国,072-455-1461,
RJBB,入管,北出国,072-455-1464,
RJBB,入管,BJ利用ー入管対応（LCC 入国）,072-455-1445,
RJBB,入管,BJ利用ー入管対応（LCC 出国）,072-455-1447,
RJBB,検疫,BJ利用ー検疫対応（南検疫所）,072-455-1287,
RJBB,検疫,北検疫所,072-455-1297,
RJBB,検疫（動物）,動物出入国関しての問い合わせ,072-455-1956,
RJBB,検疫（植物）,植物輸出入関しての問い合わせ,072-455-1936,
RJBB,関西エアポート,パス申請（IDカードセンター）,072-455-2017,
RJBB,関西エアポート,ビジターパス,072-455-2514,
RJBB,関西エアポート,ファーストレンチケット,072-455-2364,
RJBB,関西エアポート,運航・関空連絡橋情報,072-455-2500,ｻｰﾋﾞｽｾﾝﾀｰ
RJBB,玉響,BJ利用ー受付,080-9930-0908,CKTS OPS(24H)
RJBB,第三警備所,BJ利用ーGATE SECURITY,072-455-2441,KSP.WEST
RJBB,三愛アビエーションSVC株式会社,給油,072-456-8703,UVAir（過去）
RJBB,ﾏｲﾅﾐ空港ｻｰﾋﾞｽ,給油,072-456-6225,WFS他
RJBB,RIC,ケータリング,072-456-6350,
RJBB,RIC,ケータリング,072-456-6367,ディスパッチ
RJBB,ほんまもん,ケータリング,072-456-6620,お寿司、刺身
RJBB,Ritz-Carlton Osaka,ケータリング,06-6343-7000,
RJBB,St. Regis Osaka,ケータリング,070-3102-5097,
RJBB,JAL,ハンドリング関する問い合わせ,072-455-3407,航務部　ﾗｲﾝ 
RJBB,JAL,ハンドリング関する問い合わせ,072-455-3408,航務部　ﾗｲﾝ 
RJBB,JAL,ハンドリング関する問い合わせ,072-455-3365,作業統制グループ
RJBB,JAL,EC Job Controller（ツール貸出）,072-455-3317,
RJBB,ﾎﾃﾙ日航関西空港,ホテル,072-455-1111,関西空港周辺
RJBB,ｽﾀｰｹﾞｰﾄﾎﾃﾙ関西空港,ホテル,072-460-1111,関西空港周辺
RJBB,ﾜｼﾝﾄﾝﾎﾃﾙ,ホテル,072-461-2222,関西空港周辺
RJBB,第一交通,配車（一般タクシー）,072-221-6060,
RJBB,第一交通,配車（ハイヤー）,072-247-3484,堺営業所
RJBB,大阪MKハイヤー,配車（一般タクシー）,06-6452-4441,
RJBB,大阪MKハイヤー,配車（ハイヤー）,06-6562-5489,
RJBB,南海バス,ランプバス,072-456-7113,空港営業所
RJBB,㈱JSS,保安検査場（南）,072-455-3435,0700-2359LT ONLY
RJBB,全日警,保安検査場（北）,072-456-6195,24HR AVAILABLE
RJBB,第2警備所,バスゲート,072-455-2430,
RJBB,ローソン,コンビニ,072-456-8201,エアロプラザ1階
RJBB,ローソン,コンビニ,072-455-4522,エアロプラザ2階
RJBB,ローソン,コンビニ,072-456-6601,T1 2階
RJBB,ファミリーマート,コンビニ,072-455-4529,貨物地区
RJCC,CAB,SLOT/SPOT 日次調整,0123-23-4102,
RJCC,CAB,SLOT/SPOT 月次調整,0123-23-4195,
RJCC,HAP,スポット空き確認・離着陸申請・ビジターパス,0123-46-2970,運航情報課
RJCC,税関,NACCS、税関申請、運航関連（監視窓口）,0123-45-7055,
RJCC,税関,税関出国カウンター,0123-45-7097,
RJCC,入管,入管審査全般、EDカード受取,0123-40-2030,
RJCC,検疫（人間）,仮検疫済証、入国関しての問い合わせ,0123-45-7007,
RJCC,検疫（動物）,動物出入国関しての問い合わせ,0123-24-6080,
RJCC,検疫（植物）,植物輸出入関しての問い合わせ,0123-24-6154,
RJCC,SAS,ハンドリング関する問い合わせ,0123-29-5093,
RJCC,SAS,ハンドリング関する問い合わせ,080-2652-1226,
RJCC,JAL,ハンドリング関する問い合わせ,0123-45-2267,航務部
RJCC,ANA,ハンドリング関する問い合わせ,0123-45-5030,航務部
RJCC,セントラルリーシング,保安検査場,0123-46-2611,
RJCC,BHS監査室,預かり荷物検査,0123-46-2720,
RJCC,CAT,ターミナルビル使用申請,0123-46-5113,営業第一部
RJCC,ちとせ交通,配車（一般タクシー）,0123-22-6000,
RJCC,MK交通,配車（ハイヤー）,011-812-6565,
RJCC,グランドホテルニュー王子,ケータリング,0123-46-5960,
RJCC,空港シーフーズ寿司,ケータリング,090-3112-9064,お寿司、刺身
RJGG,CAB,SLOT 調整,0569-38-7850,
RJGG,飛行場運用グループ,SPOT 調整,0569-38-7555,
RJGG,税関,取締本部,0569-38-7624,
RJGG,入管,入国審査管理,0569-38-7413,
RJGG,入管,入国,0569-38-7411,
RJGG,入管,出国,0569-38-7412,
RJGG,検疫（人間）,仮検疫済証、入国関しての問い合わせ,0569-38-8192,
RJGG,検疫（動物）,動物出入国関しての問い合わせ,0569-38-8577,
RJGG,検疫（植物）,植物輸出入関しての問い合わせ,0569-38-8433,
RJGG,KAFCO,給油,0569-38-7333,
RJGG,マイナミ空港サービス,給油,0569-38-8373,
RJGG,NAC,ケータリング,0569-38-7903,
RJGG,NAC,ケータリング,0569-38-7902,夜間連絡先
RJGG,PJ,ケータリング,080-5536-3388,
RJNA,空港管理事務所,滑走路利用申請,0568-29-1785,
RJNA,税関,税関全般業務,052-398-4227,土日祝連絡先：052-398-4228
RJNA,入管,入管全般業務,052-559-2112,
RJNA,検疫（人間）,仮検疫済証、入国関しての問い合わせ,052-661-4131,
RJNA,検疫（動物）,動物出入国関しての問い合わせ,052-651-0334,OFC時間外連絡先：0569-38-8577（RJGG）
RJNA,検疫（植物）,植物輸出入関しての問い合わせ,052-651-0112,
RJNA,空港ビルディング,会議室利用申請,0568-29-1600,
RJNA,マイナミ空港サービス,給油,0568-28-1012,
RJCH,CAB,SLOT/SPOT 調整,0138-57-1738,
RJCH,税関,税関（空港事務所）,0138-59-4570,空港出勤：INTL SKED FLT HR ONLY
RJCH,税関,税関（港事務所）,0138-40-4245,
RJCH,入管,入管（空港事務所）,0138-57-5920,空港出勤：INTL SKED FLT HR ONLY
RJCH,入管,入管（港事務所）,0138-41-6922,
RJCH,検疫（人間）,仮検疫済証、入国関しての問い合わせ,0138-59-0248,
RJCH,検疫（動物）,動物出入国関しての問い合わせ,0138-84-5415,
RJCH,検疫（植物）,植物輸出入関しての問い合わせ,0138-42-6671,
RJCH,JAL,ハンドリング関する問い合わせ,0138-59-1438,函館空港・航務部
RJCH,KAFCO,給油,0138-57-5936,
RJCH,ことぶき第一タクシー,配車（一般タクシー）,0138-55-2295,
RJEC,CAB,SLOT/SPOT 調整,0166-83-2200,
RJEC,CAB,フライトプラン,0123-234-102,RJEC FLP FILE BY CTS CAB
RJEC,税関,税関（空港事務所）,0166-83-5997,
RJEC,入管,入管（旭川市庁舎）,0166-38-6755,
RJEC,入管,入管（空港事務所）,0166-83-5835,空港出勤：INTL SKED FLT hours only
RJEC,検疫（人間）,仮検疫済証、入国関しての問い合わせ,0166-83-5180,
RJEC,検疫（動物）,動物出入国関しての問い合わせ,0123-24-6080,千歳空港
RJEC,検疫（植物）,植物輸出入関しての問い合わせ,0166-83-4300,空港出勤：INTL SKED FLT hours only
RJEC,検疫（植物）,植物輸出入関しての問い合わせ,011-853-9671,札幌支所
RJEC,ANA,ハンドリング関する問い合わせ,0166-83-4513,旭川空港・藤原所長様
RJEC,ANA,ハンドリング関する問い合わせ,0166-83-4700,旭川空港・池田支店長様
RJEC,ANA,ハンドリング関する問い合わせ,0166-83-4521,旭川空港・ステーション・コントロール
RJEC,旭川石油,給油,0166-83-3933,
RJEC,ちどりハイヤー,配車（一般タクシー）,0166-83-2645,
